Version	ID	Parent	AbInit	AED	Coverage	Integrity	Unique
r11	PdomMRNAr1.1-00001.1	PdomGENEr1.1-00001	augustus	0.01	0	0	no
r11	PdomMRNAr1.1-00002.1	PdomGENEr1.1-00002	augustus	0.03	1	1	no
r11	PdomMRNAr1.1-00003.1	PdomGENEr1.1-00003	snap	0.11	0.98	0.69	no
r11	PdomMRNAr1.1-00004.1	PdomGENEr1.1-00004	augustus	0.14	0.99	0.86	no
r11	PdomMRNAr1.1-00005.1	PdomGENEr1.1-00005	augustus	0.10	1	0.9	no
r11	PdomMRNAr1.1-00006.1	PdomGENEr1.1-00006	augustus	0.14	1	0.96	no
r11	PdomMRNAr1.1-00007.1	PdomGENEr1.1-00007	augustus	0.19	0.97	0.89	no
r11	PdomMRNAr1.1-00008.1	PdomGENEr1.1-00008	genemark	0.31	0.45	0.14	no
r11	PdomMRNAr1.1-00009.1	PdomGENEr1.1-00009	augustus	0.28	1	1	no
r11	PdomMRNAr1.1-00010.1	PdomGENEr1.1-00010	augustus	0.41	1	0.9	no
r11	PdomMRNAr1.1-00011.1	PdomGENEr1.1-00011	genemark	0.43	1	0.7	no
r11	PdomMRNAr1.1-00012.1	PdomGENEr1.1-00012	genemark	0.56	0.94	0.53	no
r11	PdomMRNAr1.1-00013.1	PdomGENEr1.1-00013	augustus	0.56	1	0.65	no
r11	PdomMRNAr1.1-00014.1	PdomGENEr1.1-00014	augustus	0.78	1	0.3	no
r11	PdomMRNAr1.1-00015.1	PdomGENEr1.1-00015	snap	0.01	0.44	0.13	no
r11	PdomMRNAr1.1-00016.1	PdomGENEr1.1-00016	augustus	0.05	1	1	no
r11	PdomMRNAr1.1-00017.1	PdomGENEr1.1-00017	augustus	0.03	1	0.4	no
r11	PdomMRNAr1.1-00018.1	PdomGENEr1.1-00018	augustus	0.06	1.03	0.91	no
r11	PdomMRNAr1.1-00019.1	PdomGENEr1.1-00019	augustus	0.15	1	0.75	no
r11	PdomMRNAr1.1-00020.1	PdomGENEr1.1-00020	genemark	0.17	0.68	0.2	no
r11	PdomMRNAr1.1-00021.1	PdomGENEr1.1-00021	snap	0.11	0.9	0.54	no
r11	PdomMRNAr1.1-00021.2	PdomGENEr1.1-00021	snap	0.59	0.9	0.54	no
r11	PdomMRNAr1.1-00022.1	PdomGENEr1.1-00022	snap	0.29	1	0.65	no
r11	PdomMRNAr1.1-00023.1	PdomGENEr1.1-00023	snap	0.19	1	0.8	no
r11	PdomMRNAr1.1-00024.1	PdomGENEr1.1-00024	snap	0.18	1	0.35	no
